,Name,Location,Area,JobId,JobType,Link,Department,PrivateAdvertiser,Featured,Datetime,Class,Subclass,Remark
177,Accounts And Office Assistant,Wellington,Wellington Central,50564208,promoted,https://www.seek.co.nz/job/50564208?type=promoted#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Geeks on Wheels,0,1,,administration & office support,administrative assistants,
178,Business Support Administrator - Picton,Marlborough,,50614994,standard,https://www.seek.co.nz/job/50614994?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Hudson - Business Support,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
179,Project Coordinator,Otago,Dunedin,50636976,standout,https://www.seek.co.nz/job/50636976?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,SSL,0,0,2022-12-21 16:59,administration & office support,contracts administration,
180,Executive Assistant To The Elb & Slt,Wellington,,50597426,standard,https://www.seek.co.nz/job/50597426?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,New Zealand Police,0,0,2022-12-17 16:59,administration & office support,other,
181,Receptionist,Bay of Plenty,Tauranga,50601247,standout,https://www.seek.co.nz/job/50601247?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Personnel Resources/Temp Resources,0,0,2022-12-17 16:59,administration & office support,receptionists,
182,Office Administrator - Waipukurau,Hawkes Bay,Rest of Hawkes Bay,50576571,standard,https://www.seek.co.nz/job/50576571?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Higgins Concrete Limited,0,0,2022-12-12 16:59,administration & office support,administrative assistants,
183,Receptionist/Administrator,Bay of Plenty,Tauranga,50609570,standard,https://www.seek.co.nz/job/50609570?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Sign creations,0,0,2022-12-18 16:59,administration & office support,receptionists,
184,Team Coordinator Monitoring And Inspection,Wellington,Wellington Central,50628725,standout,https://www.seek.co.nz/job/50628725?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,CAA/Avsec,0,0,2022-12-21 16:59,administration & office support,other,
185,Lodgement Administrator - Dunedin,Otago,Dunedin,50624975,standout,https://www.seek.co.nz/job/50624975?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,ACC,0,0,2022-12-20 16:59,administration & office support,data entry & word processing,
186,Receptionist,Bay of Plenty,Tauranga,50620889,standout,https://www.seek.co.nz/job/50620889?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Avenues Orthodontics,0,0,2022-12-20 16:59,administration & office support,receptionists,
187,Personal Assistant - Part Time,Auckland,Auckland Central,50588220,standard,https://www.seek.co.nz/job/50588220?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,,1,0,2022-12-14 16:59,administration & office support,"pa, ea & secretarial",
188,Weekend Receptionist,Canterbury,Christchurch,50613503,standard,https://www.seek.co.nz/job/50613503?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Generus Living Group,0,0,2022-12-19 16:59,administration & office support,receptionists,
189,Children'S Team Administrator - Oranga Tamariki,Wellington,Wellington Central,50602701,standout,https://www.seek.co.nz/job/50602701?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Oranga Tamariki,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
190,Business Support Administrator,Bay of Plenty,Tauranga,50591178,standout,https://www.seek.co.nz/job/50591178?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,S&L Land Development and Design Specialists,0,0,2022-12-14 16:59,administration & office support,administrative assistants,
191,Office Assistance Temporary Role,Auckland,"Manukau & East AucklandManukau & East Auckland,$20 - $24.99 per hour",50601769,standard,https://www.seek.co.nz/job/50601769?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Colonial Bacon & Ham Co Ltd,0,0,2022-12-17 16:59,nan,nan,$20 - $24.99 per hour
192,Compliance Support Coordinator,Otago,Dunedin,50615369,standout,https://www.seek.co.nz/job/50615369?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Otago Regional Council,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
193,"Administration Officer, Building Services",Otago,Dunedin,50581778,standout,https://www.seek.co.nz/job/50581778?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Dunedin City Council,0,0,2022-12-13 16:59,administration & office support,administrative assistants,
194,Senior Plumbing Administrator /Scheduler,Otago,Rest of Otago,50616946,standard,https://www.seek.co.nz/job/50616946?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Hiflo Plumbing,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
195,Personal Assistant,Auckland,Auckland Central,50639083,standout,https://www.seek.co.nz/job/50639083?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Fonterra Co-operative Group Ltd,0,0,2022-12-24 13:59,administration & office support,"pa, ea & secretarial",
196,Administrator - Women'S Health,Waikato,Hamilton,50588967,standard,https://www.seek.co.nz/job/50588967?type=standard#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Waikato District Health Board,0,0,2022-12-14 16:59,administration & office support,administrative assistants,
197,Team Administrator,Wellington,,50633637,standout,https://www.seek.co.nz/job/50633637?type=standout#searchRequestToken=96a09070-eb17-4357-8910-b97d1c1ea034,Alpha Recruitment - NZ,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
198,Senior Administrator,Waikato,Hamilton,50551511,promoted,https://www.seek.co.nz/job/50551511?type=promoted#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,McCaw Lewis Lawyers Limited,0,1,,administration & office support,administrative assistants,
199,Customer Service Officer,Canterbury,Timaru & South Canterbury,50614282,promoted,https://www.seek.co.nz/job/50614282?type=promoted#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,CM Trailer Parts,0,1,,administration & office support,client & sales administration,
200,Health & Safety Co-Ordinator/Office Manager,Otago,Dunedin,50599425,standout,https://www.seek.co.nz/job/50599425?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Forest and Harvesting Managers Ltd,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
201,Admin Coordinator (Medical),Auckland,"Waitakere & West AucklandWaitakere & West Auckland,8% holiday pay",50622872,standout,https://www.seek.co.nz/job/50622872?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Robert Walters,0,0,2022-12-20 16:59,nan,nan,8% holiday pay
202,Office Administrator And Accounting Assistant,Auckland,Auckland Central,50618272,standout,https://www.seek.co.nz/job/50618272?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Northland Roofs (NZ) Ltd,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
203,Service Delivery Coordinator,Wellington,Wellington Central,50599621,standout,https://www.seek.co.nz/job/50599621?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Adecco Office,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
204,Reception,Auckland,Rodney & North Shore,50614504,standard,https://www.seek.co.nz/job/50614504?type=standard#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Ideal Real estate,0,0,2022-12-19 16:59,administration & office support,receptionists,
205,Service Administrator Fixed Term - Waipukurau,Hawkes Bay,Rest of Hawkes Bay,50627515,standout,https://www.seek.co.nz/job/50627515?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Cervus Equipment,0,0,2022-12-20 16:59,administration & office support,administrative assistants,
206,Reception - Part Time,Waikato,Hamilton,50598701,standout,https://www.seek.co.nz/job/50598701?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Asset Recruitment Ltd,0,0,2022-12-17 16:59,administration & office support,receptionists,
207,Electrical Support Administrator,Gisborne,Gisborne,50590936,standout,https://www.seek.co.nz/job/50590936?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Harvey Norman,0,0,2022-12-14 16:59,administration & office support,administrative assistants,
208,Pa/Team Administrator,Wellington,,50630028,standout,https://www.seek.co.nz/job/50630028?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,"Ministry of Business, Innovation and Employment",0,0,2022-12-21 16:59,administration & office support,administrative assistants,
209,Admin And Sales Support Person,Auckland,Papakura & Franklin,50632261,standout,https://www.seek.co.nz/job/50632261?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,People Passion,0,0,2022-12-21 16:59,administration & office support,client & sales administration,
210,Curtain Bank Project Administrator,Auckland,Manukau & East Auckland,50608151,standout,https://www.seek.co.nz/job/50608151?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Habitat for Humanity Greater Auckland Ltd,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
211,Board Secretary (Part Time),Auckland,Manukau & East Auckland,50605292,standout,https://www.seek.co.nz/job/50605292?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Friendship House Trust,0,0,2022-12-18 16:59,administration & office support,"pa, ea & secretarial",
212,Centre Administrator / Executive Assistant - Hobsonville Location!,Auckland,"Waitakere & West AucklandWaitakere & West Auckland,$55,000 - $64,999",50585191,standout,https://www.seek.co.nz/job/50585191?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,In Transit Consulting Ltd,0,0,2022-12-13 16:59,nan,nan,"$55,000 - $64,999"
213,Personal Assistant/Executive Assistant Roles - Expressions Of Interest,Wellington,,50605228,standard,https://www.seek.co.nz/job/50605228?type=standard#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Momentum Consulting Group,0,0,2022-12-18 16:59,administration & office support,"pa, ea & secretarial",
214,Administrator Te Whare O Matairangi,Wellington,"Wellington CentralWellington Central,$40,000 - $49,999",50608495,standout,https://www.seek.co.nz/job/50608495?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Capital and Coast District Health Board,0,0,2022-12-18 16:59,nan,nan,"$40,000 - $49,999"
215,Time Target Rostering Administrator,Waikato,Rest of Waikato,50572487,standout,https://www.seek.co.nz/job/50572487?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,,1,0,2022-12-12 16:59,administration & office support,data entry & word processing,
216,Executive Officer - Te Tai Tokerau,Northland,Rest of Northland,50608920,standout,https://www.seek.co.nz/job/50608920?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Department of Corrections,0,0,2022-12-18 16:59,administration & office support,"pa, ea & secretarial",
217,Administration/Receptionist,Southland,Invercargill,50589781,standard,https://www.seek.co.nz/job/50589781?type=standard#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Pacific Island Advisory & Cultural Trust,0,0,2022-12-14 16:59,administration & office support,receptionists,
218,Office Manager,Wellington,Wellington Central,50599154,standout,https://www.seek.co.nz/job/50599154?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,StarNow.com,0,0,2022-12-17 16:59,administration & office support,office management,
219,Dispatcher / Project Coordinator,Auckland,"Auckland CentralAuckland Central,$45,000 - $59,999",50637795,standout,https://www.seek.co.nz/job/50637795?type=standout#searchRequestToken=b9867cd6-9859-441e-a171-f58793107f5e,Clearvision Communications,0,0,2022-12-22 16:59,nan,nan,"$45,000 - $59,999"
220,"Administrator, Office Of The Deputy Director-General",Wellington,Wellington Central,50600797,standout,https://www.seek.co.nz/job/50600797?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Ministry of Health,0,0,2022-12-17 16:59,administration & office support,other,
221,Executive Assistant - Fixed Term,Auckland,Auckland Central,50631223,standout,https://www.seek.co.nz/job/50631223?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,The University of Auckland,0,0,2022-12-21 16:59,administration & office support,"pa, ea & secretarial",
222,Business Manager,Wellington,Wellington Central,50633242,standard,https://www.seek.co.nz/job/50633242?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,DLA Architects Limited,0,0,2022-12-21 16:59,administration & office support,office management,
223,Administration Superstar,Auckland,Manukau & East Auckland,50562012,standout,https://www.seek.co.nz/job/50562012?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,NetYourJob,0,0,2022-12-10 16:59,administration & office support,administrative assistants,
224,Team Administrator,Wellington,Wellington Central,50590778,standout,https://www.seek.co.nz/job/50590778?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Oranga Tamariki,0,0,2022-12-14 16:59,administration & office support,administrative assistants,
225,Operations Coordinator And/Or 1:1 Support Worker,Bay of Plenty,Rotorua,50606796,standard,https://www.seek.co.nz/job/50606796?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,St Chads Communication Centre Trust,0,0,2022-12-18 16:59,administration & office support,office management,
226,Pa / Team Administrator,Wellington,,50625217,standout,https://www.seek.co.nz/job/50625217?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Chandler Macleod NZ,0,0,2022-12-20 16:59,administration & office support,"pa, ea & secretarial",
227,Customer Service,Northland,Rest of Northland,50607463,standard,https://www.seek.co.nz/job/50607463?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Jora New Zealand,0,0,2022-12-18 16:59,administration & office support,client & sales administration,
228,Team Leader Reception Services,Wellington,Wellington Central,50623064,standout,https://www.seek.co.nz/job/50623064?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Ministry of Social Development,0,0,2022-12-20 16:59,administration & office support,other,
229,Branch Administrator,Bay of Plenty,Tauranga,50593033,standout,https://www.seek.co.nz/job/50593033?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Penske New Zealand,0,0,2022-12-14 16:59,administration & office support,administrative assistants,
230,Office Administrator- Henderson,Auckland,Waitakere & West Auckland,50566949,standout,https://www.seek.co.nz/job/50566949?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Briscoe Group,0,0,2022-12-11 16:59,administration & office support,administrative assistants,
231,Dispatch Administrator,Auckland,"Manukau & East AucklandManukau & East Auckland,NZD25 - NZD28 per hour",50608580,standout,https://www.seek.co.nz/job/50608580?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Enterprise Recruitment,0,0,2022-12-18 16:59,nan,nan,nzd25 - nzd28 per hour
232,Executive Assistant,Canterbury,Timaru & South Canterbury,50605383,standout,https://www.seek.co.nz/job/50605383?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Little Recruiter,0,0,2022-12-18 16:59,administration & office support,"pa, ea & secretarial",
233,Administrator - New Initiative,Wellington,,50633336,standout,https://www.seek.co.nz/job/50633336?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,GBL Personnel,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
234,Order Processing And Customer Service Role,Manawatu,Palmerston North,50584794,standard,https://www.seek.co.nz/job/50584794?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Food Specialists International ltd,0,0,2022-12-13 16:59,administration & office support,administrative assistants,
235,Data Entry Administrator,Bay of Plenty,Tauranga,50576836,standout,https://www.seek.co.nz/job/50576836?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Personnel Resources/Temp Resources,0,0,2022-12-12 16:59,administration & office support,data entry & word processing,
236,Headmaster - St Paul'S Collegiate School,Waikato,Hamilton,50613781,standout,https://www.seek.co.nz/job/50613781?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Sheffield,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
237,Office Administrator Opportunity - Dunedin Based,Otago,Dunedin,50585682,standard,https://www.seek.co.nz/job/50585682?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,NetYourJob,0,0,2022-12-13 16:59,administration & office support,administrative assistants,
238,9 Month Fixed Term Contract - Office Administrator - Part-Time,Auckland,Rodney & North Shore,50570167,standard,https://www.seek.co.nz/job/50570167?type=standard#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,AER Group Ltd,0,0,2022-12-11 16:59,administration & office support,administrative assistants,
239,Brewery Sales And Logistics Administrator,Canterbury,Christchurch,50613972,standout,https://www.seek.co.nz/job/50613972?type=standout#searchRequestToken=9b919f1d-6bce-4f4d-b26d-721d40ce14b9,Cassels and Sons Brewery Limited,0,0,2022-12-19 16:59,administration & office support,client & sales administration,
240,Administrator - Returns & Repairs Team (Fixed-Term & Part-Time),Wellington,Wellington Central,50600752,standard,https://www.seek.co.nz/job/50600752?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Rubber Monkey Sales Ltd,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
241,Wairau Park - Administration Assistant - Part Time,Auckland,Rodney & North Shore,50541299,standout,https://www.seek.co.nz/job/50541299?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Harvey Norman,0,0,2022-12-06 16:59,administration & office support,administrative assistants,
242,Administrator (Academic Registry & Graduation),Auckland,Auckland Central,50606969,standard,https://www.seek.co.nz/job/50606969?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Unitec Institute of Technology,0,0,2022-12-18 16:59,administration & office support,other,
243,Commercial Administrator,Bay of Plenty,Tauranga,50606405,standout,https://www.seek.co.nz/job/50606405?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Bay of Plenty Regional Council,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
244,Senior Business Support,Canterbury,Christchurch,50620333,standout,https://www.seek.co.nz/job/50620333?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Walker Davey Searells Limited,0,0,2022-12-19 16:59,administration & office support,administrative assistants,
245,Office Administrator,Otago,Dunedin,50573230,standout,https://www.seek.co.nz/job/50573230?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Moore Markhams Otago Limited,0,0,2022-12-12 16:59,administration & office support,administrative assistants,
246,Data Entry,Wellington,,50575091,standard,https://www.seek.co.nz/job/50575091?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Randstad - Business Support,0,0,2022-12-12 16:59,administration & office support,data entry & word processing,
247,Office Administrator,Wellington,"Wellington CentralWellington Central,$20 - $24.99 per hour",50572931,standard,https://www.seek.co.nz/job/50572931?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Golden Pine Trading Limited,0,0,2022-12-12 16:59,nan,nan,$20 - $24.99 per hour
248,Case Manager - Dynamic Case Manager Role In Takapuna,Auckland,Rodney & North Shore,50640451,standout,https://www.seek.co.nz/job/50640451?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,NZDRC,0,0,2022-12-24 16:52,administration & office support,administrative assistants,
249,Membership Administrator,Wellington,Wellington Central,50588959,standard,https://www.seek.co.nz/job/50588959?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Apiculture New Zealand,0,0,2022-12-14 16:59,administration & office support,administrative assistants,
250,"Finance Administration Team Leader: Citycare Water, Christchurch",Canterbury,Christchurch,50605968,standard,https://www.seek.co.nz/job/50605968?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Citycare,0,0,2022-12-18 16:59,administration & office support,contracts administration,
251,Business Administrator - Chronoptics,Waikato,Hamilton,50599017,standout,https://www.seek.co.nz/job/50599017?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Yellow Umbrella,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
252,Helpdesk Coordinator,Wellington,Wellington Central,50627256,standout,https://www.seek.co.nz/job/50627256?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Colliers International,0,0,2022-12-20 16:59,administration & office support,administrative assistants,
253,Client Coordinator,Auckland,Manukau & East Auckland,50620928,standout,https://www.seek.co.nz/job/50620928?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Metrobox,0,0,2022-12-20 16:59,administration & office support,client & sales administration,
254,Part-Time Accounts/Office Administrator,Otago,Dunedin,50572576,standout,https://www.seek.co.nz/job/50572576?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Platinum Recruitment Limited,0,0,2022-12-12 16:59,administration & office support,administrative assistants,
255,Manufacturing Administrator,Waikato,Hamilton,50597422,standout,https://www.seek.co.nz/job/50597422?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,CARTERS,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
256,Business Support,Canterbury,Timaru & South Canterbury,50601370,standout,https://www.seek.co.nz/job/50601370?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Bayleys Realty Group,0,0,2022-12-17 16:59,administration & office support,administrative assistants,
257,Team Administrator/Coordinator Roles - Expression Of Interest,Wellington,,50605229,standard,https://www.seek.co.nz/job/50605229?type=standard#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Momentum Consulting Group,0,0,2022-12-18 16:59,administration & office support,other,
258,Health Care Home Project Coordinator - 1 Year Fixed Term,Bay of Plenty,Tauranga,50608014,standout,https://www.seek.co.nz/job/50608014?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Western Bay of Plenty Primary Health Organisation,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
259,Administrator Hsno Reassessments,Wellington,Wellington Central,50597959,standout,https://www.seek.co.nz/job/50597959?type=standout#searchRequestToken=3997d218-20a4-4e1c-b282-a6a65db6abdb,Environmental Protection Authority (EPA),0,0,2022-12-17 16:59,administration & office support,administrative assistants,
260,Team Member,Wellington,,50632523,standout,https://www.seek.co.nz/job/50632523?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Robert Walters,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
261,Regulatory Administration Team Leader,Waikato,Thames & Coromandel,50564731,standout,https://www.seek.co.nz/job/50564731?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Thames-Coromandel District Council,0,0,2022-12-11 16:59,administration & office support,office management,
262,Office Administrator - Sales Coordinator,Wellington,Porirua & Kapiti Coast,50585283,standard,https://www.seek.co.nz/job/50585283?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Norrcom Ltd,0,0,2022-12-13 16:59,administration & office support,client & sales administration,
263,Receptionist,Waikato,Hamilton,50577069,standard,https://www.seek.co.nz/job/50577069?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Annex Group,0,0,2022-12-12 16:59,administration & office support,receptionists,
264,Contract Administrator / Reception,Auckland,"Rodney & North ShoreRodney & North Shore,$45,000 - $49,999",50624680,standout,https://www.seek.co.nz/job/50624680?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Rodney West Residential Limited,0,0,2022-12-20 16:59,nan,nan,"$45,000 - $49,999"
265,Commercial Administrator (28 Hrs/Week),Tasman,Nelson,50610487,standard,https://www.seek.co.nz/job/50610487?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,FSL Foods,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
266,"Team Administrator, (Fixed Term)",Wellington,Wellington Central,50607605,standout,https://www.seek.co.nz/job/50607605?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Department of Conservation,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
267,Ict Administrator,Wellington,,50628855,standout,https://www.seek.co.nz/job/50628855?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Alpha Recruitment - NZ,0,0,2022-12-21 16:59,administration & office support,administrative assistants,
268,Rockstar Executive Assistant - Perfect For Foodies,Auckland,Auckland Central,50608693,standout,https://www.seek.co.nz/job/50608693?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,JOYN,0,0,2022-12-18 16:59,administration & office support,"pa, ea & secretarial",
269,Receptionist,Wellington,,50605288,standout,https://www.seek.co.nz/job/50605288?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Alpha Recruitment - NZ,0,0,2022-12-18 16:59,administration & office support,receptionists,
270,Business Support Associate,Auckland,Auckland Central,50617166,standout,https://www.seek.co.nz/job/50617166?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Jarden,0,0,2022-12-19 16:59,administration & office support,"pa, ea & secretarial",
271,Client Programme Coordinator,Auckland,"Auckland CentralAuckland Central,Competitive Salary",50597489,standout,https://www.seek.co.nz/job/50597489?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Deloitte - NZ,0,0,2022-12-17 16:59,nan,nan,competitive salary
272,Personal Assistant To Partner,Hawkes Bay,Napier,50624787,standout,https://www.seek.co.nz/job/50624787?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Somerset Smith Partners,0,0,2022-12-20 16:59,administration & office support,"pa, ea & secretarial",
273,Retail Assistant & Administrator,Wellington,,50584608,standout,https://www.seek.co.nz/job/50584608?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Drake New Zealand - Masterton,0,0,2022-12-13 16:59,administration & office support,administrative assistants,
274,Administration/Marketing Assistant,Otago,Dunedin,50561083,standard,https://www.seek.co.nz/job/50561083?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Edinburgh Realty Ltd MREINZ,0,0,2022-12-10 16:59,administration & office support,administrative assistants,
275,Personal Assistant To Salesperson,Wellington,Rest of Wellington Region,50605238,standout,https://www.seek.co.nz/job/50605238?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Property Brokers,0,0,2022-12-18 16:59,administration & office support,"pa, ea & secretarial",
276,Project/Programme Coordinator,Wellington,Wellington Central,50629863,standout,https://www.seek.co.nz/job/50629863?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,New Zealand Security Intelligence Service,0,0,2022-12-21 16:59,administration & office support,other,
277,Customer Service Administrator,Hawkes Bay,"HastingsHastings,$22 per hour",50595916,standard,https://www.seek.co.nz/job/50595916?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,dm consult mortgages and Insurance,0,0,2022-12-15 16:59,nan,nan,$22 per hour
278,Administration Manager,Auckland,"Auckland CentralAuckland Central,NZD75000 per annum",50624687,standout,https://www.seek.co.nz/job/50624687?type=standout#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Madison Recruitment Limited,0,0,2022-12-20 16:59,nan,nan,nzd75000 per annum
279,Transition Coordinator,Auckland,Manukau & East Auckland,50607516,standard,https://www.seek.co.nz/job/50607516?type=standard#searchRequestToken=2af24d02-06d6-410c-8450-d6d3df788a4c,Manukau Institute of Technology,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
280,Transition Coordinator,Auckland,Manukau & East Auckland,50607514,standard,https://www.seek.co.nz/job/50607514?type=standard#searchRequestToken=e606cfac-d194-4e80-bfe0-9e1b8fa77009,Manukau Institute of Technology,0,0,2022-12-18 16:59,administration & office support,administrative assistants,
